Alignment_name	mafft_Q-score	D2_Q-score	D2S_Q-score	D2St_Q-score	mafft_TC-score	D2_TC-score	D2S_TC-score	D2St_TC-score
renamed_headersRV11_BBS11031.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11032.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11033.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11034.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11035.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11036.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11037.fasta	0	0	0	0	0	0	0	0
renamed_headersRV11_BBS11038.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12017.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12018.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12019.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12020.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12021.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12022.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12023.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12024.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12025.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12026.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12027.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12028.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12029.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12030.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12031.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12032.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12033.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12034.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12035.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12036.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12037.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12038.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12039.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12040.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12041.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12042.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12043.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BB12044.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12017.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12018.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12019.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12020.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12021.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12022.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12023.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12024.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12025.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12026.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12027.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12028.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12029.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12030.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12031.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12032.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12033.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12034.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12035.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12036.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12037.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12038.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12040.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12041.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12042.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12043.fasta	0	0	0	0	0	0	0	0
renamed_headersRV12_BBS12044.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20024.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20002.fasta	0	0	0	null	0	0	0	null
renamed_headersRV20_BBS20025.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20026.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20027.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20008.fasta	0	0	0	null	0	0	0	null
renamed_headersRV20_BB20009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20028.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20029.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20030.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20017.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20018.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20019.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20020.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20031.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20021.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20022.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20023.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20024.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20032.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20025.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20033.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20026.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20034.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20027.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20035.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20028.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20029.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20030.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20031.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20032.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20033.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20036.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20034.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20037.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20035.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20038.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20036.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20040.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20037.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20038.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20039.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20039.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20040.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20041.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BB20041.fasta	0	0	0	null	0	0	0	null
renamed_headersRV20_BBS20001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20017.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20018.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20019.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20020.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20021.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20022.fasta	0	0	0	0	0	0	0	0
renamed_headersRV20_BBS20023.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40029.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40027.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40028.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40030.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40031.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40032.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40033.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40034.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30017.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40038.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30018.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30019.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40035.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30020.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40036.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30021.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30022.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40037.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30023.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40039.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30024.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40040.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30025.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40041.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30026.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30027.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40042.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30028.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40044.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30029.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40043.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BB30030.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40045.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40047.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40046.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30017.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30018.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30019.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30020.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30021.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30022.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30023.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30024.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30025.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40048.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30026.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30027.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40049.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30028.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30029.fasta	0	0	0	0	0	0	0	0
renamed_headersRV30_BBS30030.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40004.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40017.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40018.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40019.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40020.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40021.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40022.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40023.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40024.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40025.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50013.fasta	0	0	0	0	0	0	0	0
renamed_headersRV40_BB40026.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BB50012.fasta	0	0	0	0	0	0	0	0
renamed_headersRV65_trk_ref6.fasta	0.135	0.162	0.162	0.131	0.00595	0	0	0
renamed_headersRV50_BB50014.fasta	0	0	0	0	0	0	0	0
renamed_headersRV65_zf_2_ref6.fasta	0.201	0.356	0.356	0.354	0	0	0	0
renamed_headersRV50_BB50015.fasta	0	0	0	0	0	0	0	0
renamed_headersRV65_zf_1_ref6.fasta	0.117	0.048	0.048	0.053	0	0	0	0
renamed_headersRV50_BB50016.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BBS50001.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BBS50002.fasta	0	0	0	0	0	0	0	0
renamed_headersRV66_ank_1_ref6.fasta	0.547	0.581	0.568	0.597	0	0	0	0
renamed_headersRV50_BBS50003.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BBS50005.fasta	0	0	0	0	0	0	0	0
renamed_headersRV66_dead_ref6.fasta	0.506	0.74	0.74	0.727	0.136	0.294	0.294	0.277
renamed_headersRV50_BBS50006.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BBS50007.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BBS50008.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BBS50009.fasta	0	0	0	0	0	0	0	0
renamed_headersRV50_BBS50010.fasta	0	0	0	0	0	0	0	0
renamed_headersRV66_ank_2_ref6.fasta	0.187	0.141	0.141	0.141	0	0	0	0
renamed_headersRV50_BBS50011.fasta	0	0	0	0	0	0	0	0
renamed_headersRV66_kringle_1_ref6.fasta	0.772	0.788	0.788	0.799	0.0871	0.0987	0.0987	0.16
